engine,workload,sync,ops_per_s,p50_us,p99_us,n,value_bytes,writers
KeystoneDB,seq_write,batched,116248,5.6,10.2,1000000,100,1
SQLite,seq_write,batched,52098,11.5,31.0,1000000,100,1
KeystoneDB,rand_write,batched,108110,6.1,10.6,1000000,100,1
SQLite,rand_write,batched,19352,13.7,192.9,1000000,100,1
KeystoneDB,rand_read_hit,batched,30088,32.3,47.2,1000000,100,1
SQLite,rand_read_hit,batched,118422,7.0,25.9,1000000,100,1
KeystoneDB,rand_read_miss,batched,873017,1.0,3.9,1000000,100,1
SQLite,rand_read_miss,batched,421124,2.3,2.7,1000000,100,1
KeystoneDB,scan,batched,6298,158.8,189.2,1000000,100,1
SQLite,scan,batched,51545,19.1,25.3,1000000,100,1
KeystoneDB,conc_write,durable,219,4402.8,7597.7,10000,100,1
SQLite,conc_write,durable,8808,60.9,346.1,10000,100,1
KeystoneDB,conc_write,durable,538,8376.5,12634.9,10000,100,4
SQLite,conc_write,durable,9804,64.7,245.0,10000,100,4
KeystoneDB,conc_write,durable,1014,8573.3,12997.4,10000,100,8
SQLite,conc_write,durable,9644,63.7,257.9,10000,100,8
KeystoneDB,conc_write,durable,1969,8776.9,14706.3,10000,100,16
SQLite,conc_write,durable,10056,64.8,259.3,10000,100,16
